Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,UpDown
2001-11-29,0.5299999713897705,0.5130000114440918,0.5199999809265137,3,1100,29,2001,0
2001-11-30,0.5400000214576721,0.5130000114440918,0.5343000292778015,4,1100,30,2001,1
2001-12-03,0.5669999718666077,0.5389999747276306,0.5601999759674072,0,1200,3,2001,1
2001-12-04,0.5659999847412109,0.5454999804496765,0.5503000020980835,1,1200,4,2001,0
2001-12-05,0.5600000023841858,0.5370000004768372,0.5419999957084656,2,1200,5,2001,0
2001-12-06,0.5440000295639038,0.512499988079071,0.5174999833106995,3,1200,6,2001,0
2001-12-07,0.5274999737739563,0.5,0.5249999761581421,4,1200,7,2001,1
2001-12-10,0.527999997138977,0.5090000033378601,0.5109000205993652,0,1200,10,2001,0
2001-12-11,0.5139999985694885,0.4990000128746033,0.5060999989509583,1,1200,11,2001,0
2001-12-12,0.5299999713897705,0.5099999904632568,0.5171999931335449,2,1200,12,2001,1
2001-12-13,0.5289999842643738,0.5040000081062317,0.520799994468689,3,1200,13,2001,1
2001-12-14,0.5529999732971191,0.5299999713897705,0.5503000020980835,4,1200,14,2001,1
2001-12-17,0.5584999918937683,0.5419999957084656,0.5454999804496765,0,1200,17,2001,0
2001-12-18,0.5559999942779541,0.5414999723434448,0.5504000186920166,1,1200,18,2001,1
2001-12-19,0.5680000185966492,0.550000011920929,0.5580999851226807,2,1200,19,2001,1
2001-12-20,0.5740000009536743,0.5450000166893005,0.5503000020980835,3,1200,20,2001,0
2001-12-21,0.5619999766349792,0.550000011920929,0.5586000084877014,4,1200,21,2001,1
2001-12-26,0.6039999723434448,0.5609999895095825,0.6013000011444092,2,1200,26,2001,1
2001-12-27,0.5950000286102295,0.5849999785423279,0.5927000045776367,3,1200,27,2001,0
2001-12-28,0.6069999933242798,0.5770000219345093,0.5856000185012817,4,1200,28,2001,0
2001-12-31,0.5860000252723694,0.5649999976158142,0.5724999904632568,0,1200,31,2001,0
2002-01-02,0.6119999885559082,0.5770000219345093,0.6105999946594238,2,100,2,2002,1
2002-01-03,0.6240000128746033,0.6029999852180481,0.6044999957084656,3,100,3,2002,0
2002-01-04,0.6340000033378601,0.6069999933242798,0.6284000277519226,4,100,4,2002,1
2002-01-07,0.6340000033378601,0.6154999732971191,0.6233999729156494,0,100,7,2002,0
2002-01-08,0.6209999918937683,0.609000027179718,0.6098999977111816,1,100,8,2002,0
2002-01-09,0.6100000143051147,0.578000009059906,0.5806000232696533,2,100,9,2002,0
2002-01-10,0.5920000076293945,0.5699999928474426,0.5896000266075134,3,100,10,2002,1
2002-01-11,0.5929999947547913,0.5720000267028809,0.5730999708175659,4,100,11,2002,0
2002-01-14,0.5699999928474426,0.5370000004768372,0.5504999756813049,0,100,14,2002,0
2002-01-15,0.5640000104904175,0.5444999933242798,0.5519999861717224,1,100,15,2002,1
2002-01-16,0.5622000098228455,0.5350000262260437,0.5584999918937683,2,100,16,2002,1
2002-01-17,0.5622000098228455,0.531000018119812,0.5379999876022339,3,100,17,2002,0
2002-01-18,0.5485000014305115,0.5360000133514404,0.5392000079154968,4,100,18,2002,1
2002-01-22,0.5575000047683716,0.5389999747276306,0.550000011920929,1,100,22,2002,1
2002-01-23,0.5684999823570251,0.5485000014305115,0.5619999766349792,2,100,23,2002,1
2002-01-24,0.5705000162124634,0.5540000200271606,0.5684999823570251,3,100,24,2002,1
2002-01-25,0.5849999785423279,0.5550000071525574,0.5809999704360962,4,100,25,2002,1
2002-01-28,0.5899999737739563,0.5695000290870667,0.5770000219345093,0,100,28,2002,0
2002-01-29,0.5809999704360962,0.5609999895095825,0.5659999847412109,1,100,29,2002,0
